0 0 6.07677e+01 692.541 3.33421e+01 1.10347e+00 603.583
0 1 4.24861e+01 526.089 3.48972e+01 5.66313e+00 505.854
0 2 5.25217e+01 1386.3  4.50996e+01 6.19219e+00 1360.35
0 3 5.59243e+01 2510.15 5.61926e+01 8.05850e+00 2510.08
0 4 6.96319e+01 33101.7 6.60469e+01 7.30421e+00 32989.7
1 0 6.13162e+01 1040.88 5.10236e+01 5.82521e+00 1026.49
1 1 3.44834e+01 537.698 3.23290e+01 7.26649e+00 535.145
1 2 4.36543e+01 968.648 4.59855e+01 8.61252e+00 968.537
1 3 4.43868e+01 2577.06 3.77952e+01 6.14844e+00 2540.31
1 4 5.36332e+01 3674.94 6.55195e+01 1.05643e+01 3123.39
