0 0 5.66757e+01 281.803 4.11308e+01 4.12410e+00 245.281
0 1 3.42912e+01 859.31 2.67127e+01 5.06338e+00 825.096
0 2 4.68719e+01 881.971 4.34520e+01 7.08342e+00 875.035
0 3 4.97410e+01 2580.19 4.98558e+01 8.02855e+00 2580.16
0 4 6.40575e+01 39494.3 6.40561e+01 7.99988e+00 39494.2
1 0 6.02480e+01 249.864 6.15875e+01 8.27746e+00 249.455
1 1 3.04102e+01 828.901 2.62943e+01 6.35334e+00 818.294
1 2 3.99058e+01 975.667 3.94768e+01 7.87317e+00 975.6
1 3 4.03502e+01 2910.07 3.29938e+01 5.65888e+00 2829.85
1 4 5.19863e+01 2912.83 6.07506e+01 9.99882e+00 2575.66
